# One UI drawable parity map
# reference drawable | representation | Compose mapping | status
ic_oui_bluetooth_off|resource|OneUiDrawableCatalog.entries[name=ic_oui_bluetooth_off]|mapped
ic_oui_bookmark|resource|OneUiDrawableCatalog.entries[name=ic_oui_bookmark]|mapped
ic_oui_bookmark_list|resource|OneUiDrawableCatalog.entries[name=ic_oui_bookmark_list]|mapped
ic_oui_bookmark_list_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_bookmark_list_outline]|mapped
ic_oui_bookmark_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_bookmark_outline]|mapped
ic_oui_bracket|resource|OneUiDrawableCatalog.entries[name=ic_oui_bracket]|mapped
ic_oui_brightness|resource|OneUiDrawableCatalog.entries[name=ic_oui_brightness]|mapped
ic_oui_brightness_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_brightness_outline]|mapped
ic_oui_brush|resource|OneUiDrawableCatalog.entries[name=ic_oui_brush]|mapped
ic_oui_brush_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_brush_outline]|mapped
ic_oui_bud_ambient_sound|resource|OneUiDrawableCatalog.entries[name=ic_oui_bud_ambient_sound]|mapped
ic_oui_bud_equlizer|resource|OneUiDrawableCatalog.entries[name=ic_oui_bud_equlizer]|mapped
ic_oui_bud_gaming|resource|OneUiDrawableCatalog.entries[name=ic_oui_bud_gaming]|mapped
ic_oui_bud_lock|resource|OneUiDrawableCatalog.entries[name=ic_oui_bud_lock]|mapped
ic_oui_bud_noti|resource|OneUiDrawableCatalog.entries[name=ic_oui_bud_noti]|mapped
ic_oui_bud_touchpad|resource|OneUiDrawableCatalog.entries[name=ic_oui_bud_touchpad]|mapped
ic_oui_buds|resource|OneUiDrawableCatalog.entries[name=ic_oui_buds]|mapped
ic_oui_buds_live|resource|OneUiDrawableCatalog.entries[name=ic_oui_buds_live]|mapped
ic_oui_buds_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_buds_outline]|mapped
ic_oui_buds_pro|resource|OneUiDrawableCatalog.entries[name=ic_oui_buds_pro]|mapped
ic_oui_buds_pro_active_noise_cancelling|resource|OneUiDrawableCatalog.entries[name=ic_oui_buds_pro_active_noise_cancelling]|mapped
ic_oui_buds_pro_bixby_voice_wake_up|resource|OneUiDrawableCatalog.entries[name=ic_oui_buds_pro_bixby_voice_wake_up]|mapped
ic_oui_buds_pro_detect_conversation|resource|OneUiDrawableCatalog.entries[name=ic_oui_buds_pro_detect_conversation]|mapped
ic_oui_buds_pro_equalizer|resource|OneUiDrawableCatalog.entries[name=ic_oui_buds_pro_equalizer]|mapped
ic_oui_buds_pro_gaming|resource|OneUiDrawableCatalog.entries[name=ic_oui_buds_pro_gaming]|mapped
ic_oui_buds_pro_lock_touchpad|resource|OneUiDrawableCatalog.entries[name=ic_oui_buds_pro_lock_touchpad]|mapped
ic_oui_buds_pro_notifications|resource|OneUiDrawableCatalog.entries[name=ic_oui_buds_pro_notifications]|mapped
ic_oui_buds_pro_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_buds_pro_outline]|mapped
ic_oui_buds_pro_touch_and_hold|resource|OneUiDrawableCatalog.entries[name=ic_oui_buds_pro_touch_and_hold]|mapped
ic_oui_calculation|resource|OneUiDrawableCatalog.entries[name=ic_oui_calculation]|mapped
ic_oui_calculation_root|resource|OneUiDrawableCatalog.entries[name=ic_oui_calculation_root]|mapped
ic_oui_calculation_root_3th|resource|OneUiDrawableCatalog.entries[name=ic_oui_calculation_root_3th]|mapped
ic_oui_calendar|resource|OneUiDrawableCatalog.entries[name=ic_oui_calendar]|mapped
ic_oui_calendar_day|resource|OneUiDrawableCatalog.entries[name=ic_oui_calendar_day]|mapped
ic_oui_calendar_month|resource|OneUiDrawableCatalog.entries[name=ic_oui_calendar_month]|mapped
ic_oui_calendar_period_time|resource|OneUiDrawableCatalog.entries[name=ic_oui_calendar_period_time]|mapped
ic_oui_calendar_search|resource|OneUiDrawableCatalog.entries[name=ic_oui_calendar_search]|mapped
ic_oui_calendar_task|resource|OneUiDrawableCatalog.entries[name=ic_oui_calendar_task]|mapped
ic_oui_calendar_week|resource|OneUiDrawableCatalog.entries[name=ic_oui_calendar_week]|mapped
ic_oui_calendar_year|resource|OneUiDrawableCatalog.entries[name=ic_oui_calendar_year]|mapped
ic_oui_call|resource|OneUiDrawableCatalog.entries[name=ic_oui_call]|mapped
ic_oui_call_log|resource|OneUiDrawableCatalog.entries[name=ic_oui_call_log]|mapped
ic_oui_call_reject|resource|OneUiDrawableCatalog.entries[name=ic_oui_call_reject]|mapped
ic_oui_call_text_other_device|resource|OneUiDrawableCatalog.entries[name=ic_oui_call_text_other_device]|mapped
